
Host: sophon

Timers On : Sat Feb  4 17:10:33 2023
Timers Off: Sat Feb  4 17:15:17 2023

Wall Time:      284.42 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
JKGrad: ABx                         :      0.033u      0.000s      0.012w      5 calls
JKGrad: Amnx                        :      0.033u      0.000s      0.022w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
V: Grid                             :      0.050u      0.000s      0.029w      1 calls
build grid                          :      0.033u      0.000s      0.020w      1 calls
post-process grid                   :      0.017u      0.000s      0.010w      1 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.183u      0.000s      0.054w     19 calls
| Libint2ERI::Libint2ERI            :      0.033u      0.000s      0.020w     19 calls
DFH: initialize()                   :      0.250u      0.050s      0.181w     19 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.012w     38 calls
| DFH: AO Construction              :      0.017u      0.017s      0.021w     19 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.003w     19 calls
HF: Form core H                     :      0.017u      0.000s      0.092w     19 calls
HF: Form S/X                        :      0.000u      0.000s      0.003w     19 calls
HF: Guess                           :      0.800u      0.000s      0.500w     19 calls
| SAD Guess                         :      0.783u      0.000s      0.472w     15 calls
HF: Form G                          :      0.883u      0.017s      0.531w    172 calls
| JK: D                             :      0.000u      0.000s      0.001w    172 calls
| JK: USO2AO                        :      0.000u      0.000s      0.003w    172 calls
| JK: JK                            :      0.017u      0.000s      0.015w    172 calls
| | DFH: compute_JK()               :      0.017u      0.000s      0.015w    172 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    172 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.004w    172 calls
| | | DFH: compute_K                :      0.017u      0.000s      0.006w    172 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    172 calls
| RV: Form V                        :      0.850u      0.017s      0.507w      8 calls
| | Properties                      :      0.133u      0.000s      0.081w   4408 calls
| | Functional                      :      0.550u      0.017s      0.349w   4408 calls
| | V_xc                            :      0.150u      0.000s      0.064w   4408 calls
HF: Form F                          :      0.000u      0.000s      0.001w    172 calls
HF: Form D                          :      0.000u      0.000s      0.001w    172 calls
HF: DIIS                            :      0.750u      0.000s      0.434w    157 calls
HF: Form C                          :      0.117u      0.000s      0.041w    157 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.150u      0.000s      0.272w      5 calls
| JKGrad: Amn                       :      0.033u      0.000s      0.021w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.004w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.033u      0.000s      0.030w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.033u      0.000s      0.012w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.033u      0.000s      0.022w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.003w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls
V: Grid                             :      0.050u      0.000s      0.029w      1 calls
| build grid                        :      0.033u      0.000s      0.020w      1 calls
| post-process grid                 :      0.017u      0.000s      0.010w      1 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 18:23:57 2023
Timers Off: Sun Feb  5 18:24:54 2023

Wall Time:       57.32 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.018w      7 calls
Libint2ERI::Libint2ERI              :      0.050u      0.017s      0.017w     41 calls
DFH: initialize()                   :      0.117u      0.000s      0.062w      7 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      7 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.019w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Guess                           :      0.167u      0.017s      0.092w      7 calls
SAD Guess                           :      0.167u      0.017s      0.085w      3 calls
HF: Form G                          :      0.017u      0.000s      0.007w     65 calls
JK: D                               :      0.017u      0.000s      0.000w     65 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     65 calls
JK: JK                              :      0.000u      0.000s      0.005w     65 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.005w     65 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     65 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     65 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     65 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     65 calls
HF: Form F                          :      0.000u      0.000s      0.000w     65 calls
HF: Form D                          :      0.000u      0.000s      0.000w     65 calls
HF: DIIS                            :      0.300u      0.000s      0.140w     62 calls
HF: Form C                          :      0.000u      0.000s      0.015w     62 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.100u      0.033s      0.082w      5 calls
JKGrad: Amn                         :      0.017u      0.017s      0.016w      5 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
JKGrad: AB                          :      0.067u      0.000s      0.027w      5 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.000u      0.017s      0.011w      5 calls
JKGrad: Amnx                        :      0.017u      0.000s      0.021w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.018w      7 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w      7 calls
DFH: initialize()                   :      0.117u      0.000s      0.062w      7 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w     14 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      7 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      7 calls
HF: Form core H                     :      0.000u      0.000s      0.019w      7 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Guess                           :      0.167u      0.017s      0.092w      7 calls
| SAD Guess                         :      0.167u      0.017s      0.085w      3 calls
HF: Form G                          :      0.017u      0.000s      0.007w     65 calls
| JK: D                             :      0.017u      0.000s      0.000w     65 calls
| JK: USO2AO                        :      0.000u      0.000s      0.001w     65 calls
| JK: JK                            :      0.000u      0.000s      0.005w     65 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.005w     65 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     65 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w     65 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.002w     65 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     65 calls
HF: Form F                          :      0.000u      0.000s      0.000w     65 calls
HF: Form D                          :      0.000u      0.000s      0.000w     65 calls
HF: DIIS                            :      0.300u      0.000s      0.140w     62 calls
HF: Form C                          :      0.000u      0.000s      0.015w     62 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.100u      0.033s      0.082w      5 calls
| JKGrad: Amn                       :      0.017u      0.017s      0.016w      5 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.017s      0.003w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.067u      0.000s      0.027w      5 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.000u      0.017s      0.011w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.017u      0.000s      0.021w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 18:24:58 2023
Timers Off: Sun Feb  5 18:26:14 2023

Wall Time:       75.80 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.017u      0.000s      0.036w     14 calls
Libint2ERI::Libint2ERI              :      0.083u      0.000s      0.034w     82 calls
DFH: initialize()                   :      0.200u      0.033s      0.128w     14 calls
DFH: AO Construction                :      0.000u      0.000s      0.014w     14 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.002w     14 calls
HF: Form core H                     :      0.000u      0.000s      0.044w     14 calls
HF: Form S/X                        :      0.000u      0.017s      0.002w     14 calls
HF: Guess                           :      0.300u      0.000s      0.191w     14 calls
SAD Guess                           :      0.283u      0.000s      0.180w      6 calls
HF: Form G                          :      0.017u      0.000s      0.016w    130 calls
JK: D                               :      0.000u      0.000s      0.001w    130 calls
JK: USO2AO                          :      0.017u      0.000s      0.002w    130 calls
JK: JK                              :      0.000u      0.000s      0.011w    130 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.010w    130 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    130 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w    130 calls
DFH: compute_K                      :      0.000u      0.000s      0.004w    130 calls
JK: AO2USO                          :      0.000u      0.000s      0.001w    130 calls
HF: Form F                          :      0.000u      0.000s      0.001w    130 calls
HF: Form D                          :      0.000u      0.000s      0.001w    130 calls
HF: DIIS                            :      0.467u      0.017s      0.321w    124 calls
HF: Form C                          :      0.050u      0.000s      0.031w    124 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w     10 calls
Grad: S                             :      0.000u      0.000s      0.001w     10 calls
Grad: JK                            :      0.283u      0.000s      0.270w     10 calls
JKGrad: Amn                         :      0.083u      0.000s      0.038w     10 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w     10 calls
JKGrad: AB                          :      0.050u      0.000s      0.058w     10 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w     10 calls
JKGrad: ABx                         :      0.067u      0.000s      0.023w     10 calls
JKGrad: Amnx                        :      0.067u      0.000s      0.043w     10 calls
Grad: XC                            :      0.000u      0.000s      0.000w     10 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.017u      0.000s      0.036w     14 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.013w     14 calls
DFH: initialize()                   :      0.200u      0.033s      0.128w     14 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.008w     28 calls
| DFH: AO Construction              :      0.000u      0.000s      0.014w     14 calls
| DFH: AO-Met. Contraction          :      0.017u      0.000s      0.002w     14 calls
HF: Form core H                     :      0.000u      0.000s      0.044w     14 calls
HF: Form S/X                        :      0.000u      0.017s      0.002w     14 calls
HF: Guess                           :      0.300u      0.000s      0.191w     14 calls
| SAD Guess                         :      0.283u      0.000s      0.180w      6 calls
HF: Form G                          :      0.017u      0.000s      0.016w    130 calls
| JK: D                             :      0.000u      0.000s      0.001w    130 calls
| JK: USO2AO                        :      0.017u      0.000s      0.002w    130 calls
| JK: JK                            :      0.000u      0.000s      0.011w    130 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.010w    130 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    130 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.002w    130 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.004w    130 calls
| JK: AO2USO                        :      0.000u      0.000s      0.001w    130 calls
HF: Form F                          :      0.000u      0.000s      0.001w    130 calls
HF: Form D                          :      0.000u      0.000s      0.001w    130 calls
HF: DIIS                            :      0.467u      0.017s      0.321w    124 calls
HF: Form C                          :      0.050u      0.000s      0.031w    124 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.002w     10 calls
Grad: S                             :      0.000u      0.000s      0.001w     10 calls
Grad: JK                            :      0.283u      0.000s      0.270w     10 calls
| JKGrad: Amn                       :      0.083u      0.000s      0.038w     10 calls
| | Libint2ERI::Libint2ERI          :      0.017u      0.000s      0.007w     10 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w     10 calls
| JKGrad: AB                        :      0.050u      0.000s      0.058w     10 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w     10 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w     10 calls
| JKGrad: ABx                       :      0.067u      0.000s      0.023w     10 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w     10 calls
| JKGrad: Amnx                      :      0.067u      0.000s      0.043w     10 calls
| | Libint2ERI::Libint2ERI          :      0.033u      0.000s      0.006w     10 calls
Grad: XC                            :      0.000u      0.000s      0.000w     10 calls

**************************************************************************************

Host: sophon

Timers On : Sun Feb  5 18:23:46 2023
Timers Off: Sun Feb  5 18:57:26 2023

Wall Time:     2019.61 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      3.133u      0.033s      1.976w   1250 calls
Libint2ERI::Libint2ERI              :      0.250u      0.000s      0.207w   4107 calls
DFH: initialize()                   :     11.567u      0.067s      6.992w   1250 calls
DFH: AO Construction                :      0.167u      0.000s      0.099w   1250 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.012w   1250 calls
HF: Form core H                     :      0.883u      0.033s      3.300w   1301 calls
HF: Form S/X                        :      0.300u      0.000s      0.120w   1301 calls
HF: Guess                           :     30.567u      0.617s     18.716w   1301 calls
SAD Guess                           :     27.283u      0.367s     16.567w   1301 calls
HF: Form G                          :      0.717u      0.000s      0.427w   5361 calls
JK: D                               :      0.017u      0.000s      0.019w   5361 calls
JK: USO2AO                          :      0.067u      0.000s      0.064w   5361 calls
JK: JK                              :      0.517u      0.000s      0.240w   5361 calls
DFH: compute_JK()                   :      0.417u      0.000s      0.221w   5125 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.004w   5125 calls
DFH: compute_J                      :      0.100u      0.000s      0.035w   5125 calls
DFH: compute_K                      :      0.033u      0.000s      0.028w   5125 calls
PK computes JK                      :      0.017u      0.000s      0.001w    236 calls
JK: AO2USO                          :      0.017u      0.000s      0.023w   5361 calls
HF: Form F                          :      0.083u      0.000s      0.035w   5361 calls
HF: Form D                          :      0.000u      0.000s      0.021w   5361 calls
HF: DIIS                            :     17.417u      0.400s     10.941w   4060 calls
HF: Form C                          :      1.350u      0.017s      0.953w   4060 calls
DFMP2 Singles                       :      0.000u      0.000s      0.002w    102 calls
DFMP2 Aia                           :      0.383u      0.000s      0.412w    102 calls
DFMP2 (A|mn)                        :      0.000u      0.000s      0.008w    102 calls
DFMP2 (A|mn)C_mi                    :      0.000u      0.000s      0.000w    153 calls
DFMP2 (A|mi)C_na                    :      0.000u      0.000s      0.001w    153 calls
DFMP2 Aia Write                     :      0.000u      0.000s      0.002w    153 calls
DFMP2 Bia                           :      0.667u      0.033s      0.562w    102 calls
DFMP2 Metric                        :      0.633u      0.017s      0.354w    102 calls
DFMP2 Aia Read                      :      0.000u      0.000s      0.007w    153 calls
DFMP2 (ia|A)(A|Q)                   :      0.000u      0.000s      0.001w    153 calls
DFMP2 Bia Write                     :      0.000u      0.000s      0.002w    153 calls
DFMP2 Energy                        :      0.117u      0.000s      0.397w    102 calls
DFMP2 Bia Read                      :      0.000u      0.000s      0.001w    408 calls
Total PK formation time             :      0.267u      0.000s      0.176w     51 calls
FNOCC: Initializing Integrals       :      0.000u      0.000s      0.005w     51 calls
FNOCC: Two Elec Int Trans.          :      0.100u      0.067s      0.620w     51 calls
FNOCC: CC energy                    :      0.750u      1.450s      1.776w     51 calls
FNOCC: triples                      :      0.067u      0.033s      0.046w     51 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      3.133u      0.033s      1.976w   1250 calls
| Libint2ERI::Libint2ERI            :      0.183u      0.000s      0.096w   1250 calls
DFH: initialize()                   :     11.567u      0.067s      6.992w   1250 calls
| Libint2ERI::Libint2ERI            :      0.067u      0.000s      0.095w   2500 calls
| DFH: AO Construction              :      0.167u      0.000s      0.099w   1250 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.012w   1250 calls
HF: Form core H                     :      0.883u      0.033s      3.300w   1301 calls
HF: Form S/X                        :      0.300u      0.000s      0.120w   1301 calls
HF: Guess                           :     30.567u      0.617s     18.716w   1301 calls
| SAD Guess                         :     27.283u      0.367s     16.567w   1301 calls
HF: Form G                          :      0.717u      0.000s      0.427w   5361 calls
| JK: D                             :      0.017u      0.000s      0.019w   5361 calls
| JK: USO2AO                        :      0.067u      0.000s      0.064w   5361 calls
| JK: JK                            :      0.517u      0.000s      0.240w   5361 calls
| | DFH: compute_JK()               :      0.417u      0.000s      0.221w   5125 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.004w   5125 calls
| | | DFH: compute_J                :      0.100u      0.000s      0.035w   5125 calls
| | | DFH: compute_K                :      0.033u      0.000s      0.028w   5125 calls
| | PK computes JK                  :      0.017u      0.000s      0.001w    236 calls
| JK: AO2USO                        :      0.017u      0.000s      0.023w   5361 calls
HF: Form F                          :      0.083u      0.000s      0.035w   5361 calls
HF: Form D                          :      0.000u      0.000s      0.021w   5361 calls
HF: DIIS                            :     17.417u      0.400s     10.941w   4060 calls
HF: Form C                          :      1.350u      0.017s      0.953w   4060 calls
DFMP2 Singles                       :      0.000u      0.000s      0.002w    102 calls
DFMP2 Aia                           :      0.383u      0.000s      0.412w    102 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w    102 calls
| DFMP2 (A|mn)                      :      0.000u      0.000s      0.008w    102 calls
| DFMP2 (A|mn)C_mi                  :      0.000u      0.000s      0.000w    153 calls
| DFMP2 (A|mi)C_na                  :      0.000u      0.000s      0.001w    153 calls
| DFMP2 Aia Write                   :      0.000u      0.000s      0.002w    153 calls
DFMP2 Bia                           :      0.667u      0.033s      0.562w    102 calls
| DFMP2 Metric                      :      0.633u      0.017s      0.354w    102 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.002w    102 calls
| DFMP2 Aia Read                    :      0.000u      0.000s      0.007w    153 calls
| DFMP2 (ia|A)(A|Q)                 :      0.000u      0.000s      0.001w    153 calls
| DFMP2 Bia Write                   :      0.000u      0.000s      0.002w    153 calls
DFMP2 Energy                        :      0.117u      0.000s      0.397w    102 calls
| DFMP2 Bia Read                    :      0.000u      0.000s      0.001w    408 calls
Total PK formation time             :      0.267u      0.000s      0.176w     51 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w    102 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w     51 calls
FNOCC: Initializing Integrals       :      0.000u      0.000s      0.005w     51 calls
FNOCC: Two Elec Int Trans.          :      0.100u      0.067s      0.620w     51 calls
FNOCC: CC energy                    :      0.750u      1.450s      1.776w     51 calls
| FNOCC: triples                    :      0.067u      0.033s      0.046w     51 calls

**************************************************************************************


Host: sophon
Host: sophon


Timers On : Sun Feb  5 18:26:17 2023
Timers On : Sun Feb  5 18:57:30 2023
Timers Off: Sun Feb  5 18:58:01 2023
Timers Off: Sun Feb  5 18:58:01 2023

Wall Time:     1903.87 seconds

                                                       Time (seconds)

Wall Time:       31.35 seconds

Module                                       User      System        Wall        Calls
                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.017s      0.018w      7 calls
DFH: sparsity prep                  :      0.300u      0.000s      0.159w    101 calls
Libint2ERI::Libint2ERI              :      0.000u      0.017s      0.017w     41 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.014w    303 calls
DFH: initialize()                   :      0.117u      0.000s      0.062w      7 calls
DFH: initialize()                   :      0.883u      0.000s      0.555w    101 calls
DFH: AO Construction                :      0.000u      0.000s      0.007w      7 calls
DFH: AO Construction                :      0.000u      0.000s      0.008w    101 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.001w      7 calls
DFH: AO-Met. Contraction            :      0.017u      0.000s      0.001w    101 calls
HF: Form core H                     :      0.000u      0.000s      0.039w      7 calls
HF: Form core H                     :      0.117u      0.000s      0.147w    101 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Form S/X                        :      0.033u      0.017s      0.010w    101 calls
HF: Guess                           :      0.150u      0.000s      0.094w      7 calls
HF: Guess                           :      2.150u      0.017s      1.394w    101 calls
SAD Guess                           :      0.117u      0.000s      0.087w      3 calls
SAD Guess                           :      1.917u      0.000s      1.234w    101 calls
HF: Form G                          :      0.017u      0.000s      0.008w     65 calls
HF: Form G                          :      0.017u      0.000s      0.027w    392 calls
JK: D                               :      0.000u      0.000s      0.000w     65 calls
JK: D                               :      0.000u      0.000s      0.001w    392 calls
JK: USO2AO                          :      0.000u      0.000s      0.001w     65 calls
JK: USO2AO                          :      0.000u      0.000s      0.004w    392 calls
JK: JK                              :      0.017u      0.000s      0.005w     65 calls
JK: JK                              :      0.000u      0.000s      0.015w    392 calls
DFH: compute_JK()                   :      0.017u      0.000s      0.005w     65 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.014w    392 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w     65 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w    392 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w     65 calls
DFH: compute_J                      :      0.000u      0.000s      0.002w    392 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w     65 calls
DFH: compute_K                      :      0.000u      0.000s      0.002w    392 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     65 calls
JK: AO2USO                          :      0.017u      0.000s      0.001w    392 calls
HF: Form F                          :      0.000u      0.000s      0.000w     65 calls
HF: Form D                          :      0.000u      0.000s      0.000w     65 calls
HF: Form F                          :      0.000u      0.000s      0.002w    392 calls
HF: DIIS                            :      0.267u      0.017s      0.141w     62 calls
HF: Form D                          :      0.000u      0.000s      0.001w    392 calls
HF: Form C                          :      0.000u      0.000s      0.015w     62 calls
HF: DIIS                            :      1.050u      0.017s      0.658w    291 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      5 calls
HF: Form C                          :      0.150u      0.000s      0.064w    291 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
Grad: JK                            :      0.100u      0.000s      0.084w      5 calls
JKGrad: Amn                         :      0.000u      0.000s      0.016w      5 calls
DFH: sparsity prep                  :      0.300u      0.000s      0.159w    101 calls
JKGrad: Awmn                        :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                          :      0.067u      0.000s      0.028w      5 calls
Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.007w    101 calls
JKGrad: UV                          :      0.000u      0.000s      0.001w      5 calls
JKGrad: ABx                         :      0.017u      0.000s      0.011w      5 calls
DFH: initialize()                   :      0.883u      0.000s      0.555w    101 calls
JKGrad: Amnx                        :      0.017u      0.000s      0.021w      5 calls
| Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

--------------------------------------------------------------------------------------
Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.007w    202 calls
DFH: sparsity prep                  :      0.000u      0.017s      0.018w      7 calls
| | DFH: AO Construction              :      0.000u      0.000s      0.008w    101 calls
Libint2ERI::Libint2ERI            :      0.000u      0.017s      0.007w      7 calls
| DFH: initialize()                   :      0.117u      0.000s      0.062w      7 calls
DFH: AO-Met. Contraction          :      0.017u      0.000s      0.001w    101 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.005w     14 calls
HF: Form core H                     :      0.117u      0.000s      0.147w    101 calls
| DFH: AO Construction              :      0.000u      0.000s      0.007w      7 calls
HF: Form S/X                        :      0.033u      0.017s      0.010w    101 calls
| HF: Guess                           :      2.150u      0.017s      1.394w    101 calls
DFH: AO-Met. Contraction          :      0.000u      0.000s      0.001w      7 calls
| HF: Form core H                     :      0.000u      0.000s      0.039w      7 calls
SAD Guess                         :      1.917u      0.000s      1.234w    101 calls
HF: Form S/X                        :      0.000u      0.000s      0.001w      7 calls
HF: Form G                          :      0.017u      0.000s      0.027w    392 calls
HF: Guess                           :      0.150u      0.000s      0.094w      7 calls
| | JK: D                             :      0.000u      0.000s      0.001w    392 calls
SAD Guess                         :      0.117u      0.000s      0.087w      3 calls
| HF: Form G                          :      0.017u      0.000s      0.008w     65 calls
JK: USO2AO                        :      0.000u      0.000s      0.004w    392 calls
| | JK: D                             :      0.000u      0.000s      0.000w     65 calls
| JK: JK                            :      0.000u      0.000s      0.015w    392 calls
JK: USO2AO                        :      0.000u      0.000s      0.001w     65 calls
| | | DFH: compute_JK()               :      0.000u      0.000s      0.014w    392 calls
JK: JK                            :      0.017u      0.000s      0.005w     65 calls
| | | | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w    392 calls
DFH: compute_JK()               :      0.017u      0.000s      0.005w     65 calls
| | | | | | DFH: compute_J                :      0.000u      0.000s      0.002w    392 calls
DFH: Grabbing AOs             :      0.000u      0.000s      0.000w     65 calls
| | | | | | DFH: compute_K                :      0.000u      0.000s      0.002w    392 calls
DFH: compute_J                :      0.000u      0.000s      0.001w     65 calls
| | | | JK: AO2USO                        :      0.017u      0.000s      0.001w    392 calls
DFH: compute_K                :      0.000u      0.000s      0.002w     65 calls
| HF: Form F                          :      0.000u      0.000s      0.002w    392 calls
JK: AO2USO                        :      0.000u      0.000s      0.000w     65 calls
HF: Form D                          :      0.000u      0.000s      0.001w    392 calls
HF: Form F                          :      0.000u      0.000s      0.000w     65 calls
HF: DIIS                            :      1.050u      0.017s      0.658w    291 calls
HF: Form D                          :      0.000u      0.000s      0.000w     65 calls
HF: Form C                          :      0.150u      0.000s      0.064w    291 calls
HF: DIIS                            :      0.267u      0.017s      0.141w     62 calls

**************************************************************************************
HF: Form C                          :      0.000u      0.000s      0.015w     62 calls
Grad: V T Perturb                   :      0.000u      0.000s      0.001w      5 calls
Grad: S                             :      0.000u      0.000s      0.000w      5 calls
Grad: JK                            :      0.100u      0.000s      0.084w      5 calls
| JKGrad: Amn                       :      0.000u      0.000s      0.016w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      5 calls
| JKGrad: Awmn                      :      0.000u      0.000s      0.000w      5 calls
| JKGrad: AB                        :      0.067u      0.000s      0.028w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: UV                        :      0.000u      0.000s      0.001w      5 calls
| JKGrad: ABx                       :      0.017u      0.000s      0.011w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.000w      5 calls
| JKGrad: Amnx                      :      0.017u      0.000s      0.021w      5 calls
| | Libint2ERI::Libint2ERI          :      0.000u      0.000s      0.003w      5 calls
Grad: XC                            :      0.000u      0.000s      0.000w      5 calls

**************************************************************************************
